Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Daily_Rate,Monthly_Income,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_CurrentRole,Years_Since_Last_Promotion,Years_With_Curr_Manager
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,755,6540,9,No,19,3,0,10,3,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,1,Laboratory Technician,2,Divorced,1469,3816,1,No,11,3,1,5,3,5,2,0,4
28,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,304,5253,1,No,16,3,0,7,3,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,1261,10965,8,No,24,4,0,26,3,5,2,0,0
51,No,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,2,Sales Executive,4,Married,1178,4936,4,No,11,3,1,18,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,329,2543,4,No,13,3,1,6,3,2,2,2,2
34,Yes,Non-Travel,Sales,19,3,Marketing,1,Male,4,2,Sales Executive,4,Single,1362,5304,8,Yes,13,3,0,9,2,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,4,Manager,4,Single,1311,16659,2,Yes,13,3,0,30,3,5,4,1,2
24,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,1371,4260,1,Yes,12,3,1,5,4,5,2,0,3
30,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,202,2476,1,No,18,3,1,1,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,575,3102,0,No,22,4,0,7,3,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,253,2244,1,No,13,3,1,2,3,2,1,1,2
36,No,Travel_Rarely,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,164,7596,1,No,13,3,2,10,3,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,1,Research Scientist,4,Single,464,2285,9,Yes,23,4,0,3,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,1107,3034,1,No,12,3,1,18,2,18,7,12,17
40,No,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,2,Sales Executive,2,Divorced,759,5715,7,No,12,3,2,8,3,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,201,2576,3,No,16,3,1,8,3,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,Single,1305,4197,2,Yes,12,3,0,18,2,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,982,14336,1,No,11,3,1,25,3,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,555,3448,6,No,22,4,1,20,3,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,821,19406,4,No,11,3,1,24,2,4,2,1,2
34,No,Non-Travel,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,1381,6538,9,No,15,3,1,6,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,480,4306,1,No,12,3,1,13,1,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,313,2258,7,No,20,4,1,8,3,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,1473,4522,4,Yes,14,3,0,8,3,5,2,0,2
25,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,891,4487,1,Yes,11,3,0,5,3,5,4,1,3
37,No,Non-Travel,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,1063,4449,3,Yes,15,3,2,15,3,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,329,2218,1,No,12,3,1,4,3,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,1218,19197,1,Yes,14,3,1,21,3,21,8,1,6
56,No,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,906,13212,9,No,11,3,3,36,2,7,7,7,7
30,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,1082,6577,0,No,11,3,0,6,3,5,4,4,4
41,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,645,8392,1,No,16,3,1,10,3,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,1300,4558,1,No,12,3,1,10,3,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,688,4031,5,No,13,3,1,6,3,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,319,7969,2,Yes,14,3,0,28,3,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,192,2654,3,No,21,4,2,8,2,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,1490,16555,2,No,13,3,0,31,1,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,532,4556,2,No,11,3,1,19,3,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,317,6091,2,No,20,4,0,11,3,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,422,19566,5,No,11,3,0,33,1,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,1485,4810,2,No,14,3,1,19,2,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,1368,4523,0,No,11,3,3,7,4,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,1448,3202,1,Yes,16,3,0,6,3,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,296,2351,0,No,16,3,1,3,2,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1490,1702,1,Yes,23,4,1,1,3,1,0,0,0
40,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,1398,18041,0,No,14,3,0,21,3,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,1349,2886,1,No,22,4,2,3,1,3,2,0,2
30,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,1400,2097,4,No,15,3,1,9,1,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,986,11935,1,No,18,3,0,10,3,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,408,2546,5,No,16,3,0,6,4,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,489,2564,1,No,12,3,0,1,4,1,0,0,0
30,No,Non-Travel,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,1398,8412,0,No,11,3,0,10,3,9,8,7,8
57,No,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,210,14118,3,No,12,3,1,32,2,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,1099,17046,0,No,15,3,1,28,3,27,10,15,7
30,No,Non-Travel,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,1116,2564,0,No,14,3,0,12,2,11,7,6,7
60,No,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,1499,10266,4,No,19,3,0,22,4,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,983,5070,5,No,13,3,3,20,3,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,1009,17861,6,No,13,3,0,26,1,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,144,4230,0,No,15,3,0,6,3,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,548,3780,7,No,11,3,0,19,3,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,1303,2768,3,No,12,3,1,14,3,7,3,5,7
46,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,1125,9071,2,Yes,19,3,1,15,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,1274,10648,1,No,25,4,1,13,4,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,1277,13610,7,Yes,12,3,0,15,4,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,587,3408,7,No,13,3,3,8,3,4,3,1,3
30,No,Travel_Rarely,Sales,7,1,Marketing,4,Male,3,1,Sales Representative,2,Single,413,2983,0,No,14,3,0,4,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,Married,1276,7632,4,Yes,12,3,0,10,3,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,534,9824,3,No,12,3,0,12,3,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,3,3,Human Resources,1,Divorced,988,9950,9,Yes,15,3,3,11,3,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,2,Other,2,Male,3,1,Laboratory Technician,3,Married,1474,2093,4,No,17,3,1,8,3,2,2,2,0
36,No,Non-Travel,Sales,10,4,Medical,2,Male,3,3,Sales Executive,4,Single,635,9980,1,No,14,3,0,10,2,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,1368,3894,5,No,16,3,0,4,3,2,2,1,2
48,No,Travel_Rarely,Sales,2,5,Marketing,2,Female,3,2,Sales Executive,4,Married,163,4051,2,No,14,3,1,14,3,9,7,6,7
55,No,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,3,4,Manager,2,Single,1117,16835,3,No,23,4,0,37,3,10,9,7,7
41,No,Non-Travel,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,267,6230,7,No,14,3,0,16,3,14,3,1,10
35,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,3,2,Sales Executive,3,Married,619,4717,9,No,11,3,0,15,3,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,302,13237,7,No,15,3,0,22,3,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,Married,443,3755,1,No,11,3,1,8,3,8,3,0,7
31,No,Travel_Rarely,Sales,2,1,Life Sciences,2,Male,3,2,Sales Executive,4,Single,828,6582,4,Yes,13,3,0,10,4,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,319,7406,1,Yes,21,4,1,10,2,10,9,5,8
45,No,Travel_Rarely,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,561,4805,0,No,19,3,1,9,4,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,426,2741,0,Yes,11,3,1,8,2,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,232,4262,4,No,12,3,2,8,4,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,5,Medical,1,Female,4,4,Research Director,3,Divorced,922,16184,4,No,19,3,1,10,3,6,1,0,5
31,No,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,2,3,Manager,4,Divorced,688,11557,9,No,21,4,1,10,2,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1306,1878,1,Yes,14,3,0,0,3,0,0,0,0
40,No,Non-Travel,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,1094,10932,3,No,15,3,1,20,3,1,0,0,1
41,No,Non-Travel,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,509,6811,2,Yes,17,3,0,10,3,8,7,0,7
26,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,775,4306,5,No,12,3,2,8,3,0,0,0,0
35,No,Travel_Rarely,Sales,1,3,Medical,1,Female,3,2,Sales Executive,3,Single,195,4859,1,No,16,3,0,5,3,5,4,0,3
34,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,258,5337,1,No,12,3,0,10,3,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,471,2340,1,Yes,18,3,0,1,1,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,Single,799,7491,4,No,17,3,0,12,4,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,1034,10527,5,No,11,3,0,28,2,2,2,1,2
41,No,Travel_Rarely,Sales,2,5,Life Sciences,2,Female,3,4,Manager,1,Married,1276,16595,7,No,16,3,1,22,3,18,16,11,8
37,No,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,142,8834,1,No,13,3,1,9,3,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,4,Male,3,2,Research Scientist,1,Divorced,956,5577,3,Yes,12,3,2,18,3,10,9,6,9
32,Yes,Non-Travel,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,1474,4707,8,No,12,3,0,6,3,4,2,1,2
24,No,Travel_Frequently,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,535,2400,0,No,13,3,2,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,1495,9824,3,No,19,3,1,18,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,Married,446,6447,6,No,12,3,1,8,2,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,1245,19502,1,Yes,17,3,1,31,3,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,691,2725,1,Yes,11,3,2,6,3,6,5,1,4
26,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,703,6272,1,No,20,4,2,6,4,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,823,2127,1,No,21,4,1,1,3,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,1246,18200,1,No,11,3,1,32,3,32,5,10,7
25,No,Travel_Rarely,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,622,2096,1,No,11,3,0,7,3,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,1287,2886,1,Yes,16,3,1,6,3,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,448,2033,1,No,18,3,1,1,4,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,4,Married,254,3622,1,Yes,13,3,1,6,3,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,4,Medical,2,Male,3,2,Sales Executive,1,Divorced,1365,4233,2,No,17,3,0,9,1,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,2,Other,1,Male,2,2,Laboratory Technician,4,Single,538,3681,4,No,14,3,0,9,3,3,2,0,2
31,No,Travel_Rarely,Sales,6,4,Medical,1,Male,4,2,Sales Executive,4,Divorced,525,5460,4,No,22,4,2,13,4,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,4,Medical,1,Female,2,1,Research Scientist,3,Divorced,798,2187,0,No,12,3,2,6,2,5,3,0,3
37,No,Travel_Rarely,Sales,2,3,Marketing,4,Male,3,2,Sales Executive,3,Married,558,9602,4,Yes,11,3,1,17,2,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,1,Research Scientist,2,Single,959,2836,1,No,13,3,0,1,4,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Female,3,2,Healthcare Representative,4,Married,622,4089,1,No,13,3,2,10,3,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,4,Other,2,Male,2,4,Research Director,4,Divorced,782,16627,4,Yes,14,3,1,21,2,1,0,0,0
38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,3,Female,3,1,Research Scientist,1,Single,362,2619,3,No,17,3,0,8,2,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,5,Medical,4,Male,3,2,Laboratory Technician,3,Divorced,1001,5679,3,Yes,13,3,1,10,3,8,7,4,7
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,2,4,Manager,1,Married,1236,15402,7,No,11,3,1,21,1,3,2,0,2
44,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,Female,2,2,Human Resources,3,Single,1112,5985,4,No,11,3,0,10,4,2,2,0,2
34,No,Travel_Rarely,Sales,14,3,Technical Degree,3,Female,3,1,Sales Representative,3,Divorced,204,2579,1,Yes,18,3,2,8,3,8,2,0,6
27,Yes,Travel_Rarely,Sales,2,1,Marketing,3,Male,3,1,Sales Representative,1,Divorced,1420,3041,0,No,11,3,1,5,3,4,3,0,2
21,No,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,1343,3447,1,No,11,3,0,3,3,3,2,1,2
44,No,Travel_Rarely,Research & Development,3,4,Other,4,Male,3,5,Manager,4,Married,1315,19513,4,Yes,12,3,1,26,4,2,2,0,1
22,No,Travel_Rarely,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,604,2773,0,No,20,4,0,3,3,2,2,2,2
33,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,3,Divorced,1216,7104,0,No,12,3,0,6,3,5,0,1,2
32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Female,3,2,Research Scientist,4,Married,646,6322,1,Yes,12,3,1,6,2,6,4,0,5
30,No,Travel_Frequently,Research & Development,3,3,Medical,3,Female,3,1,Research Scientist,3,Divorced,160,2083,1,No,20,4,1,1,3,1,0,0,0
53,No,Travel_Rarely,Sales,1,1,Medical,4,Female,3,2,Sales Executive,1,Single,238,8381,7,No,20,4,0,18,4,14,7,8,10
34,No,Travel_Rarely,Research & Development,1,5,Life Sciences,2,Male,3,1,Research Scientist,4,Married,1397,2691,1,No,12,3,1,10,2,10,9,8,8
45,Yes,Travel_Frequently,Sales,26,4,Life Sciences,1,Female,3,2,Sales Executive,1,Married,306,4286,2,No,14,3,2,5,3,1,1,0,0
26,No,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,991,2659,1,Yes,13,3,1,3,3,3,2,0,2
37,No,Travel_Rarely,Research & Development,3,3,Other,3,Male,3,3,Manufacturing Director,3,Married,482,9434,1,No,15,3,1,10,3,10,7,7,8
29,No,Travel_Rarely,Sales,3,2,Medical,2,Female,3,2,Sales Executive,3,Married,1176,5561,1,No,14,3,1,6,2,6,0,1,2
35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,2,Male,1,2,Research Scientist,4,Single,1017,6646,1,No,13,3,0,17,3,17,11,11,8
33,No,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,Divorced,1296,7725,3,No,23,4,1,15,1,13,11,4,7
54,No,Travel_Rarely,Human Resources,19,4,Medical,3,Male,3,3,Human Resources,2,Married,397,10725,2,No,15,3,1,16,4,9,7,7,1
36,No,Travel_Rarely,Research & Development,9,2,Medical,2,Male,2,2,Manufacturing Director,2,Divorced,913,8847,2,Yes,11,3,1,13,3,3,2,0,2
27,No,Travel_Rarely,Research & Development,3,4,Medical,1,Male,2,1,Research Scientist,4,Single,1115,2045,0,No,13,3,0,5,3,4,2,1,1
20,Yes,Travel_Rarely,Research & Development,10,1,Medical,4,Male,3,1,Research Scientist,3,Single,1362,1009,1,Yes,11,3,0,1,3,1,0,1,1
33,Yes,Travel_Frequently,Research & Development,3,3,Life Sciences,1,Male,3,1,Research Scientist,1,Single,1076,3348,1,Yes,11,3,0,10,3,10,8,9,7
35,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Married,727,1281,1,No,18,3,2,1,3,1,0,0,0
23,No,Travel_Rarely,Research & Development,4,3,Medical,1,Male,4,1,Research Scientist,1,Married,885,2819,2,No,16,3,1,5,4,3,2,0,2
25,No,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,4,2,Sales Executive,2,Married,810,4851,0,No,22,4,1,4,3,3,2,1,2
38,No,Travel_Rarely,Sales,7,4,Marketing,4,Female,2,2,Sales Executive,4,Single,243,4028,0,No,20,4,0,8,3,7,7,0,5
29,No,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Male,1,1,Research Scientist,4,Divorced,806,2720,1,No,18,3,1,10,3,10,7,2,8
48,No,Travel_Rarely,Sales,2,1,Marketing,2,Male,4,2,Sales Executive,2,Married,817,8120,3,No,12,3,0,12,3,2,2,2,2
27,No,Travel_Frequently,Sales,3,1,Medical,4,Female,4,2,Sales Executive,4,Divorced,1410,4647,1,Yes,20,4,2,6,3,6,5,0,4
37,No,Travel_Rarely,Research & Development,10,2,Life Sciences,4,Male,4,1,Research Scientist,4,Single,1225,4680,3,No,17,3,0,4,3,1,0,0,0
50,No,Travel_Rarely,Research & Development,28,1,Medical,4,Male,4,1,Laboratory Technician,3,Married,1207,3221,1,Yes,11,3,3,20,3,20,8,3,8
34,No,Travel_Rarely,Research & Development,9,3,Medical,4,Female,2,3,Healthcare Representative,2,Single,1442,8621,1,No,14,3,0,9,4,8,7,7,7
24,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,3,2,Sales Executive,3,Single,693,4577,9,No,14,3,0,4,3,2,2,2,0
39,No,Travel_Rarely,Research & Development,2,4,Technical Degree,4,Female,2,2,Healthcare Representative,3,Single,408,4553,1,No,11,3,0,20,3,20,7,11,10
32,No,Travel_Rarely,Sales,10,3,Marketing,4,Male,3,2,Sales Executive,4,Single,929,5396,1,No,12,3,0,10,2,10,7,0,8
50,Yes,Travel_Frequently,Sales,8,2,Technical Degree,2,Male,3,2,Sales Executive,3,Married,562,6796,3,Yes,14,3,1,18,3,4,3,1,3
38,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,4,2,Healthcare Representative,4,Single,827,7625,0,No,13,3,0,10,2,9,7,1,8
27,No,Travel_Rarely,Research & Development,1,2,Life Sciences,3,Female,3,3,Manufacturing Director,1,Married,608,7412,1,No,11,3,0,9,3,9,7,0,7
32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,3,Female,3,3,Research Director,4,Single,1018,11159,3,No,15,3,0,10,3,7,7,7,7
47,No,Travel_Rarely,Sales,14,4,Marketing,4,Male,3,2,Sales Executive,1,Single,703,4960,2,No,12,3,0,20,3,7,7,1,7
40,No,Travel_Frequently,Sales,5,4,Life Sciences,4,Male,2,3,Sales Executive,1,Married,580,10475,5,Yes,21,4,1,20,3,18,13,1,12
53,No,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Male,4,4,Research Director,3,Married,970,14814,3,No,19,3,0,32,3,5,1,1,3
41,No,Travel_Rarely,Human Resources,10,4,Human Resources,2,Male,2,5,Manager,4,Divorced,427,19141,3,No,15,3,3,23,2,21,6,12,6
60,No,Travel_Rarely,Sales,16,4,Marketing,1,Male,3,2,Sales Executive,1,Single,1179,5405,8,No,14,3,0,10,3,2,2,2,2
27,No,Travel_Frequently,Research & Development,10,2,Life Sciences,4,Male,3,3,Manufacturing Director,1,Divorced,294,8793,1,No,21,4,2,9,2,9,7,1,7
41,No,Travel_Rarely,Human Resources,1,3,Human Resources,4,Male,2,5,Manager,3,Married,314,19189,1,No,12,3,1,22,3,22,7,2,10
50,No,Travel_Rarely,Sales,8,4,Marketing,4,Male,3,1,Sales Representative,2,Married,316,3875,7,No,15,3,1,4,3,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Female,1,1,Research Scientist,2,Single,654,2216,7,Yes,13,3,0,10,3,7,7,3,7
36,No,Non-Travel,Research & Development,8,3,Life Sciences,1,Female,4,3,Research Director,1,Married,427,11713,9,No,14,3,1,10,3,8,7,0,5
38,No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Female,3,3,Manufacturing Director,3,Single,168,7861,4,Yes,14,3,0,10,4,1,0,0,0
44,No,Non-Travel,Research & Development,24,3,Medical,1,Male,1,1,Laboratory Technician,3,Single,381,3708,2,No,14,3,0,9,3,5,2,1,4
47,No,Travel_Frequently,Sales,3,3,Medical,4,Female,3,4,Sales Executive,3,Divorced,217,13770,9,Yes,12,3,2,28,2,22,2,11,13
30,No,Travel_Rarely,Sales,27,5,Marketing,3,Male,3,2,Sales Executive,4,Divorced,501,5304,7,No,23,4,1,10,2,8,7,7,7
29,No,Travel_Rarely,Sales,10,3,Life Sciences,3,Male,3,1,Sales Representative,3,Single,1396,2642,1,No,11,3,0,1,3,1,0,0,0
42,Yes,Travel_Frequently,Research & Development,19,3,Medical,3,Male,4,1,Research Scientist,3,Divorced,933,2759,6,Yes,12,3,0,7,3,2,2,2,2
43,No,Travel_Frequently,Sales,15,3,Life Sciences,4,Male,2,2,Sales Executive,4,Married,775,6804,3,No,18,3,1,7,3,2,2,2,2
